Scenario,TraceFile,Algorithm,PageTableType,PageSizeKB,MemorySizeKB,TotalAccesses,PageFaults,DirtyPages,ExecutionTimeSeconds
1,./input/compilador.log,fifo,hier3,4,1024,1000000,31698,5945,0.168089
1,./input/compilador.log,fifo,hier3,4,2048,1000000,15609,3425,0.154804
1,./input/compilador.log,fifo,hier3,4,4096,1000000,6673,1747,0.149302
1,./input/compilador.log,fifo,hier3,4,8192,1000000,3432,700,0.137108
1,./input/compilador.log,fifo,hier3,4,16384,1000000,2852,0,0.146633
1,./input/compilador.log,fifo,invertida,4,128,1000000,98067,16759,0.166628
1,./input/compilador.log,fifo,invertida,4,256,1000000,70315,12053,0.161389
1,./input/compilador.log,fifo,invertida,4,512,1000000,48526,8487,0.159288
1,./input/compilador.log,fifo,invertida,4,1024,1000000,31698,5945,0.165170
1,./input/compilador.log,fifo,invertida,4,2048,1000000,15609,3425,0.190154
1,./input/compilador.log,fifo,invertida,4,4096,1000000,6673,1747,0.179264
1,./input/compilador.log,fifo,invertida,4,8192,1000000,3432,700,0.154035
1,./input/compilador.log,fifo,invertida,4,16384,1000000,2852,0,0.192188
1,./input/compilador.log,random,densa,4,128,1000000,106445,17170,0.158709
1,./input/compilador.log,random,densa,4,256,1000000,75280,12332,0.146059
1,./input/compilador.log,random,densa,4,512,1000000,51288,8520,0.155364
1,./input/compilador.log,random,densa,4,1024,1000000,31979,5711,0.154089
1,./input/compilador.log,random,densa,4,2048,1000000,16434,3447,0.142358
1,./input/compilador.log,random,densa,4,4096,1000000,7239,1765,0.132481
1,./input/compilador.log,random,densa,4,8192,1000000,3413,534,0.137120
1,./input/compilador.log,random,densa,4,16384,1000000,2852,0,0.131764
1,./input/compilador.log,random,hier2,4,128,1000000,106353,17208,0.147259
1,./input/compilador.log,random,hier2,4,256,1000000,75028,12191,0.140884
1,./input/compilador.log,random,hier2,4,512,1000000,51533,8704,0.140282
1,./input/compilador.log,random,hier2,4,1024,1000000,31960,5739,0.137615
1,./input/compilador.log,random,hier2,4,2048,1000000,16340,3392,0.142690
1,./input/compilador.log,random,hier2,4,4096,1000000,7230,1732,0.134034
1,./input/compilador.log,random,hier2,4,8192,1000000,3446,510,0.153161
1,./input/compilador.log,random,hier2,4,16384,1000000,2852,0,0.138647
1,./input/compilador.log,random,hier3,4,128,1000000,106834,17297,0.148142
